"filename", "language", "YAML", "Go Module File", "Ignore", "JSON", "Markdown", "Docker", "Go", "Go Checksum File", "MS SQL", "comment", "blank", "total"
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/cmd/api/routes/movement_stock.go", "Go", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 6, 27
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/cmd/api/routes/notification.go", "Go", 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 4, 11
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/cmd/api/routes/permission.go", "Go", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 5, 22
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/cmd/api/routes/plan.go", "Go", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 7, 20
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/cmd/api/routes/point_sale.go", "Go", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 8, 37
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/cmd/api/routes/product.go", "Go", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 12, 57
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/cmd/api/routes/report.go", "Go", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 6, 27
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/cmd/api/routes/role.go", "Go", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 6, 23
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/cmd/api/routes/routes.go", "Go", 0, 0, 0, 0, 0, 0, 29, 0, 0, 13, 5, 47
"/home/daniel/Documentos/Programacion/Go/Fiber/NOA-GESTION-BACK/cmd/api/routes/stock.go", "Go", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 9, 38
